№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
18811,Золотой век,Отель,18,36,"Санкт-Петербург, НАБ.РЕКИ ФОНТАНКИ, Д. 97",Адмиралтейский,78129319700.0,Нет,Www.goldenagehotel.ru,Info@goldenagehotel.ru,"Отель Golden Age - новый и стильный бутик-отель на набережной Фонтанки, в шаговой доступности от метро и Невского проспекта Гостиница «Золотой Век» на набережной реки Фонтанка находится в центральном доме ансамбля из трех строений, гармонично вписанного в красивейший окружающий пейзаж. История этого дома уникальна, здесь бывали самые знаменитые классики русского искусства.","Гости нашего отеля на Фонтанке могут воспользоваться услугами расположенной рядом платной охраняемой парковки. Также для них работает очаровательный ресторан вьетнамской кухни с европейскими завтраками. Завтраки по системе «Шведский Стол» для гостей сервируется в ресторане Pho'N'Roll с 07.30 до 11.00.Для всех проживающих в гостинице – бесплатный Wi-Fi, обслуживание номеров, услуги трансфера, завтрак (шведский стол), камера хранения для багажа.","59.92387,30.322075"
18812,Мануфактура,Отель,23,29,"Санкт-Петербург, 1-я Советская ул., дом 10, кв. 81",Центральный,7 (812) 317 69 94,Нет,Leohotels.ru/hotels/gostinica-manufaktura,Manufaktura@leohotels.ru,"Гостиница «Мануфактура» это комплекс апартаментов с удобствами отеля и домашним уютом. Приехать к нам можно в любое время суток и Вас встретит радушный администратор. Размещение гостей осуществляется в номерах, оборудованных всем необходимым для комфортного проживания. Для гостей приехавших с деловым визитом прекрасно подойдут апартаменты с раздельными кроватями.Все апартаменты оборудованы стиральной машиной и кухней.","Справка и поддержка Заказ экскурсий, трансфер и информационна поддержка Телевизор В каждом номере телевизор с настроенными каналами Ванная комната Душевая или ванная в зависимости от типа номера Кухня Плита, набор посуды, холодильник, микроволновая печь и чайник","59.931643,30.364898"
18813,Мой отель,Отель,0,0,"Санкт-Петербург, ул. Савушкина, д.7 А",Приморский,+7 (921) 905-38-05,Нет,Https://vk.com/mojotelspb,Myhostelspb@mail.ru,"Гостиница «Мой Отель« в Санкт-Петербурге расположена в Приморском районе в начале улицы Савушкина, в нескольких минутах ходьбы от станции метро »Чёрная речка» (синяя ветка). До центра города - Невского проспекта, Дворцовой площади, Эрмитажа, Исаакиевского собора, Медного всадника и многих других ключевых достопримечательностей города от отеля можно доехать на общественном транспорте за 10 минут. От Московского вокзала до нас можно добраться на метро за 20 минут. Рядом с гостиницей «Мой Отель« на Черной речке находится Военно-морская академия имени Н. Г. Кузнецова и ""Санкт-Петербургский Национальный открытый Университет"" ( АНП ВО »СПбНОУ» ).",Бесплатный WiFi - отчетные документы - бесплатная парковка - круглосуточная стойка регистрации - светлые и уютные номера - размещение туристических групп,"59.986475,30.297641"
18814,Невский Центр,Отель,19,35,"Санкт-Петербург, ул. 10-я Советская, д. 11",Центральный,88122742562.0,Нет,Https://vk.com/hotel_nevskycentre,Info@hotel-nc.ru,"Гостиница «Невский центр» расположена в центре Санкт-Петербурга, недалеко от Московского вокзала, станций метро »Площадь восстания« и «Площадь Александра Невского». Гостиница »Невский центр« находится в десяти минутах ходьбы от главной улицы Санкт-Петербурга Невского проспекта и трех минутах от Суворовского проспекта, но в то же время в тихом уютном дворике, скрытом от суеты делового центра. Рядом с нами расположены одни из главных достопримечательностей Петербурга величественный Смольный собор и Таврический сад, который упоминается во многих литературных произведениях. А также в двух минутах ходьбы от нас находится «Смольнинский Районный Суд» и Арбитражный суд города Санкт-Петербурга и Ленинградской области.","К услугам наших гостей нашего отеля предоставляются номера категорий «Стандарт», »Эконом« и «Улучшенный», которые оборудованы туалетной комнатой с душем. Наш отель располагает автономным отоплением и горячим водоснабжением.","59.936859,30.379648"
18815,Новорижский,Отель,47,47,"Санкт-Петербург, Рижский пр., д.35",Адмиралтейский,88123091388.0,Нет,Https://www.agoda.com/hotel-novorizhskiy/hotel/saint-petersburg-ru.html?cid=-295,Hotelnovorizsry@gmail.com,"Отель ""Новорижский"" открыт для всех гостей Санкт-Петербурга. К Вашим услугам Wi-Fi, стойка регистрации работает круглосуточно. В каждом номере есть всё, чтобы Ваш отдых в поездке был комфортным и запомнился лишь положительными эмоциями от проживания. Каждое утро для постояльцев сервируется вкусный и сытный завтрак в кафе. В шаговой доступности магазины, рестораны, интересные места города на Неве. Немаловажно, что совсем близко остановки общественного транспорта, что облегчит передвижение на местности.",Есть парковка Доступен трансфер (за дополнительную плату) Бесплатный Wi-Fi Рядом с отелем есть: Театр Мимигранты,"59.913465,30.277043"
18816,Номера на Невском 111,Отель,20,40,"Санкт-Петербург, Невский пр., д. 111/3, лит. А, пом. 20-Н, 22-Н",Центральный,89119260201.0,Нет,Нет,4003500@mail.ru,"Отель «Номера на Невском, 111» удобно расположен в центре Санкт-Петербурга. К услугам гостей бесплатный Wi-Fi и общий лаундж. Государственный Русский музей находится в 2,4 км, до храма Спаса на Крови 2,6 км, а до Дворцовой площади 3,3 км. Номера оснащены телевизором с плоским экраном. В числе удобств платяной шкаф и собственная ванная комната с феном, тапочками и бесплатными туалетно-косметическими принадлежностями. В распоряжении гостей некоторых номеров мини-кухня с плитой, микроволновой печью и холодильником Сотрудники круглосуточной стойки регистрации, говорящие на русском и английском языках, с удовольствием предоставят туристическую информацию.",Бесплатный Wi-Fi Бесплатная парковка Семейные номера Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации,"59.928686,30.37062"
18817,Пале-Рояль,Отель,12,12,"Санкт-Петербург, Литейный пр., д. 46, литер. А, кв. 24",Центральный,88127197796.0,Нет,Нет,Paleroyal@avangard-hotel.com,"Гостевой дом «Пале-Рояль« расположен в Центральном районе Санкт-Петербурга, в 400 метрах от музея Анны Ахматовой, в 1,3 км от музея Фаберже и в 1,5 км от Государственного Русского музея. Летний сад находится в 1,7 км, храм Спаса на Крови в 2,2 км, а Дворцовая площадь в 2,9 км. Расстояние до Государственного Эрмитажа составляет 3 км, а до центра города 700 км. Все номера оснащены телевизором с плоским экраном и спутниковыми каналами и чайником. В распоряжении гостей биде, фен и письменный стол. В каждом номере гостевого дома есть платяной шкаф и собственная ванная комната. В гостевом доме »Пале-Рояль» можно воспользоваться услугами прачечной, а также услугами бизнес-центра с факсом и копировальным аппаратом.",Номера для некурящих Отопление Прачечная,"59.937616,30.348666"
18818,Патефон,Отель,12,12,"Санкт-Петербург, Малый проспект ПС, д.84-86, лит.А, пом 3-Н",Петроградский,88123091388.0,Нет,Https://patefon-hotel-saint-petersburg.nochi.com/,Hotelpatefon@gmail.com,"Отель «Патефон« удобно расположился в пятим минутах ходьбы от станции метро »Петроградская». Для своих гостей предлагает комфортное размещение по демократичным ценам, а также такие услуги, как трансфер, камера хранения багажа и круглосуточная регистрационная стойка. Номерной фонд представлен светлыми и уютными номерами, оснащенными удобной мебелью. Ванные комнаты для всех проживающих общие. Рядом находятся различные кафе и рестораны, где можно вкусно перекусить.",Доступен трансфер от/до аэропорта (платный) Бесплатный Wi-Fi,"59.966002,30.305367"
18819,Петровский Арт Лофт,Отель,79,79,"Санкт-Петербург, Петровский переулок, д. 4, литер А",Петроградский,89213701984.0,Нет,Http://p-artloft.com/,KharitonovaMM@gmail.com,"Абсолютно новый, современный отель «Петровский Арт Лофт» категории четыре звезды принимает гостей с августа 2018 года. Ваше пребывание в одном из красивейших городов России станет незабываемым, если вы выберете наш отель. Уникальный дизайн интерьеров отеля и комфортабельные номера сразу покорят ваше сердце и навсегда станут эталоном отдыха или продуктивной деловой поездки. Номера подойдут семьям, парам, сольным путешественникам и бизнесменам. Служба приёма и размещения работает круглосуточно, за стойкой ресепшна гостей встречают квалифицированные Администраторы. Любой вопрос нашего Гостя и в любое время суток решается максимально оперативно и продуктивно.","Трансфер до отеля, экскурсии по историческим и популярным местам Санкт-Петербурга, а также романтический сюрприз для второй половины - все это с радостью помогут организовать сотрудники апарт-отеля Петровский Арт Лофт: визовое приглашение","59.959287,30.280241"
18820,Резиденция Дашковой,Отель,49,93,"Санкт-Петербург, ул. Галерная, д.15, лит.А, пом.1-Н",Адмиралтейский,812-495-45-45,Нет,Www.dashkovaresidence.ru,Reservations@dashkovaresidence.ru.,"Отель «Резиденция Дашковой« расположен в Санкт-Петербурге. Во всех помещениях подключен бесплатный Wi-Fi. В числе стандартных удобств телевизор с плоским экраном. В некоторых номерах есть гостиная зона. В собственной ванной комнате с ванной или душем имеются тапочки и бесплатные туалетно-косметические принадлежности. Стойка регистрации работает круглосуточно. Исаакиевский собор находится в 500 метрах от отеля »Резиденция Дашковой», а здание Адмиралтейства в 700 метрах. Расстояние до аэропорта Пулково составляет 15 км.",Бесплатный Wi-Fi Парковка Семейные номера Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации Бар,"59.934317,30.297174"
18821,Саквояж,Отель,15,29,"Санкт-Петербург , Средний проспект В.О., 48/27 Литера Б",Василеостровский,+7(812)3184707,Нет,Https://ostrovok.ru/hotel/russia/st._petersburg/mid6924020/sakvoyazh/?q=2042&guests=2&sid=7d6aa3e6-916f-4d1b-aeea-827fc2806596,Hotel@sacvoyagespb.ru,"Отель «Саквояж« расположен в Санкт-Петербурге, в 1,6 км от часовни Святого Кечена в Санкт-Петербурге. К услугам гостей номера с кондиционером и бесплатным Wi-Fi, а также ускоренная регистрация заезда и отъезда. Отель находится примерно в 2,2 км от стадиона »Петровский», в 3,1 км от выставочного комплекса «Ленэкспо« и в 3,1 км от Мариинского театра. К услугам гостей круглосуточная стойка регистрации, билетная касса и камера хранения багажа. В каждом номере отеля есть письменный стол, телевизор с плоским экраном и собственная ванная комната. В числе удобств номеров шкаф и чайник. По утрам в отеле »Саквояж» сервируется континентальный завтрак",Бесплатный Wi-Fi Семейные номера Можно с питомцами Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации,"59.939947,30.27309"
18822,Станция L 1,Отель,105,210,"Санкт-Петербург, Лиговский пр. Д.1, лит. А",Центральный,88005007820.0,Нет,Https://station-hotels.ru/l1,Book@station-hotels.ru,"Атриум отеля Station L1 отлично подходит для проведения небольших конференций, презентаций и обучающих мероприятий. Отель Station L1 находится в непосредственной близости к метро Площадь Восстания и Московскому вокзалу.","Wi-Fi TV Фен Полотенца, мыло Завтрак Кофе, чай, вода Камера хранения Утюг Экспресс-офис Детская кроватка Лифт","59.938279,30.364871"
18823,Сфера,Отель,12,24,"Санкт-Петербург, Невский проспект, д. 163, лит. А, пом. 5-Н",Центральный,88127177915.0,Нет,Sferahotelsgroup.ru,Nevski@sferahotelsgroup.ru,"Отель в самом центре Санкт-Петербурга отель «Сфера Невский 163» рад предложить гостям Северной столицы размещение на время деловых поездок или туристических визитов. К вашим услугам комфортные номера, безопасность и удобство бронирования.","К услугам гостей бесплатная парковка, бесплатный Wi-Fi и круглосуточная стойка регистрации.","59.924835,30.381095"
18824,"У семи мостов""/ ""Seven Bridges Hotel""",Отель,15,30,"Санкт-Петербург, ул.Зверинская, д.38, лит.А, пом. 1-Н",Петроградский,+7(981)997-27-57,None,Https://sevenbridgeshotel.ru/,Seven-bridges-hotel@mail.ru,"Отель ""У семи мостов"" (Seven Bridges Hotel) находится в самом сердце Санкт-Петербурга, его историческом центре - на Петроградском острове, в районе Биржевого моста и Петропавловской крепости. Наш отель предоставляет своим гостям 15 уютных номеров комфорт-класса. Все номера оборудованы отдельной ванной комнатой. Отсутствует комендантский час и доступна круглосуточная помощь администратора.",Интернет Собственная ванная комната с душем находится в номере.,"59.952624,30.302654"
18825,Сфера,Отель,12,24,"Санкт-Петербург, Невский проспект, д. 163, лит. А, пом. 5-Н",Центральный,88127177915.0,Нет,Sferahotelsgroup.ru,Nevski@sferahotelsgroup.ru,"Отель в самом центре Санкт-Петербурга отель «Сфера Невский 163» рад предложить гостям Северной столицы размещение на время деловых поездок или туристических визитов. К вашим услугам комфортные номера, безопасность и удобство бронирования.","К услугам гостей бесплатная парковка, бесплатный Wi-Fi и круглосуточная стойка регистрации.","59.924835,30.381095"
18826,Сфера,Отель,12,24,"Санкт-Петербург, Невский проспект, д. 163, лит. А, пом. 5-Н",Центральный,88127177915.0,Нет,Sferahotelsgroup.ru,Nevski@sferahotelsgroup.ru,"Отель в самом центре Санкт-Петербурга отель «Сфера Невский 163» рад предложить гостям Северной столицы размещение на время деловых поездок или туристических визитов. К вашим услугам комфортные номера, безопасность и удобство бронирования.","К услугам гостей бесплатная парковка, бесплатный Wi-Fi и круглосуточная стойка регистрации.","59.924835,30.381095"
18827,Усадьба на Елизарова,Отель,15,15,"Санкт-Петербург, проспект Елизарова, дом 8, корпус 2, кв. 1, 2-7",Невский,8(812)365-11-69,Нет,Нет,Ysadba@avangard-hotel.com,"Отель «Усадьба на Елизарова» расположен в Невском районе Санкт-Петербурга, в 5 км от Санкт-Петербургского театра »Мастерская« и в 7 км от музея Анны Ахматовой и музея Фаберже. В этом 3-звездочном отеле есть экскурсионное бюро и камера хранения багажа. Стойка регистрации открыта круглосуточно, на всей территории работает бесплатный Wi-Fi. Предоставляются консьерж-услуги. Персонал организует трансфер от/до аэропорта. В числе удобств микроволновая печь. Для гостей отеля сервируют континентальный завтрак или завтрак с выбором блюд из меню. Государственный Русский музей находится в 8 км от отеля «Усадьба на Елизарова», а Летний сад в 9 км.",Бесплатный Wi-Fi Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации Отопление Прачечная,"59.896842,30.426711"
18828,"Фьёрдик ООО ""Хотелс-Групп""",Отель,9,15,"Санкт-Петербург, улица Гангутская, дом 6, помещение 12",Центральный,88129206498.0,None,Нет,Fjordic@centerhotels.ru,"Отель Fjordic by Center Hotels с общим лаунджем расположен в Санкт-Петербурге, в 1,1 км от храма Спаса-на-Крови. Среди популярных достопримечательностей поблизости - Государственный Русский музей и Дворцовая площадь. К услугам гостей бесплатный Wi-Fi и круглосуточная стойка регистрации. В каждом номере отеля установлен шкаф. В собственной ванной комнате предоставляются бесплатные туалетно-косметические принадлежности. Номера отеля Fjordic by Center Hotels оснащены телевизором с плоским экраном и феном. Ежедневно в отеле сервируется завтрак «шведский стол». Эрмитаж находится в 2 км от отеля.",Бесплатный Wi-Fi Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации Отопление Места для курения,"59.945067,30.339566"
18829,Шёлковый путь,Отель,23,47,"198216, Санкт-Петербург, Ленинский проспект, д.125",Кировский,(812) 376-86-40,Нет,Www.silkwayhotel.ru,Silkwayhotel@yandex.ru,"Мы постарались создать отель, который будет не только принимать гостей и создавать им уют, но и сможет хотя бы немного дать им почувствовать особую ауру Востока, а особенно чарующей и загадочной Средней Азии, через большую часть которой пролегал Великий Шелковый Путь. Все номера нашего отеля оформлены в восточном стиле с элементами и арабского, и персидского, и среднеазиатского искусства. В дальнейшем каждому номеру будет присвоено имя одного из городов Шелкового пути по порядку их прохождения, и в зависимости от названия, в номере будут присутствовать особые декоративные элементы или картины. Картины с изображением пейзажей и достопримечательностей стран, территории которых входили в Великий Шелковый Путь, мы планируем также повесить в холле отеля. Интерьер отеля мы старались сделать более уютным, в отличие от ресторана «Навруз», где он более музейный, поэтому технику ганча и росписи почти не использовали, кроме элементов стен в некоторых номерах и потолка в холле отеля, который расписывали приглашенные мастера из Узбекистана. Дизайн-проекта у нас не было, все до мелочей продумывалось самостоятельно: мебель делали на заказ, обои, плитку, светильники и т.д. Выбирали тоже лично. Изголовья кроватей во многих номерах привезёны из Хивы, где были вырезаны вручную из уникального и очень прочного дерева Карагач.","Бесплатный Wi-Fi Бесплатная парковка Лифт Молельная комната Комната для хранения багажа Курительная комната (на всей остальной территории отеля курение строго запрещено, штраф 5000 ) Близость к метро Доставка еды в номер 20% скидка при посещении ресторана","59.851399,30.262742"
18830,Шувалофф,Отель,19,36,"Санкт-Петербург, ул.Ломоносова, д.102",Выборгский,88125168717.0,Нет,Https://shuvaloff-hotel.ru/,Shuvaloff-hotel@mail.u,"Частный загородный отель, расположенный на границе Шуваловского парка на севере Петербурга. Отель построен в 2009 году по индивидуальному проекту. Номерной фонд отеля 19 современных гостиничных номеров от мансарды «Эконом« до апартаментов »Студио».","В номерах есть все необходимое для комфортного отдыха: удобная мебель, душ, телевизор, бесплатный доступ в сеть Интернет через Wi-Fi. Небольшое уютное кафе на цокольном этаже предлагает всем гостям завтрак.","60.075523,30.293302"
18831,1880.0,Отель,14,28,"Санкт-Петербург, Тележный пер., д. 2, лит. А",Центральный,7 (812) 449-93-44,Нет,Нет,Sekretar@grand-palace.ru,"Отель «1880« расположен в Центральном районе Санкт-Петербурга, в 1,9 км от музея Анны Ахматова. К услугам гостей номера с кондиционером. Среди прочих удобств ресторан, круглосуточная стойка регистрации, услуги консьержа и бесплатный Wi-Fi на всей территории. Летний сад находится в 3,4 км от отеля, а Дворцовая площадь в 3,7 км. В числе удобств номеров шкаф, телевизор с плоским экраном и собственная ванная комната. Каждое утро в 1880 году сервируется континентальный завтрак и завтрак по меню. К услугам гостей терраса. Музей Фаберже находится в 2 км от отеля »1880», а Государственный Русский музей в 2,9 км.",Бесплатный Wi-Fi Трансфер от/до аэропорта Номера для некурящих Ресторан Круглосуточная стойка регистрации Удобства для гостей с ограниченными физическими возможностями,"59.928361,30.373396"
18832,7 Планет,Отель,28,41,"198095, Санкт-Петербург , ул. Зои Космодемьянской, д. 11, лит. А",Кировский,88123080526.0,Нет,Нет,Otel7planet@gmail.com,"Гостиница ""7 Планет"" находится в Кировском районе города Санкт-Петербург. К услугам гостей предоставляется прачечная, гладильные принадлежности, а также бесплатный доступ к беспроводному интернету. Все номера оснащены комфортабельной мебелью и располагают необходимыми удобствами. Вас порадует радушный персонал своим обслуживанием. На общей кухне, которая располагает всем необходимым оборудование Вы всегда сможете приготовить свою любимую еду.","Общие Парковка, Бесплатная парковка, Парковка на территории Сервисы Интернет, Wi-Fi, Бесплатный Wi-Fi Стойка регистрации Круглосуточная стойка регистрации Услуги уборки Прачечная Разное Номера для некурящих","59.893132,30.267422"
18833,Cronwell Inn Стремянная,Отель,49,49,"Санкт-Петербург, ул. Стремянная, д. 18, лит. А",Центральный,+7 (812) 406-04-50,Нет,Www.stremyannaya-hotel.ru,Booking@str18-hotel.com,"3 минуты ходьбы от Невского проспекта, 5 минут пешком от Московского вокзала. В стоимость номера входит: завтрак ""шведский стол"", английский чай 5 o’clock с выпечкой отеля, проводной Интернет, Интернет Wi-Fi, фен, кондиционер, сейф, косметические принадлежности, звонки по Петербургу. 49 номеров бизнес-класса, ресторан английской и европейской кухни, комната переговоров, служба безопасности. Специальные цены и программы для корпоративных групп. Пройдите по Невскому проспекту от площади Восстания, сверните на улицу Марата – и вот уже она, известная старинная Стремянная улица. Тихая улица в самом сердце Санкт-Петербурга, сохранившая свой облик с 18 века. Здесь в историческом здании и расположился бизнес-отель Cronwell Inn Стремянная.","Wi-Fi, завтрак шведский стол, чай 5 o'clock","59.930886,30.353265"
18834,Dolce Vita (Дольче Вита),Отель,14,28,"Санкт-Петербург, Мучной пер. Д.1/38, лит А, пом. 3Н",Центральный,7 (812) 310-50-72,Нет,Www.hotel-dolce.ru/,Info@hotel-dolce.ru,Недорогой отель в спб,"Круглосуточный сервис Проживание с животными Комната хранения багажа Услуга сейфинга Бесплатный Wi-Fi во всех номерах отеля Заказ билетов в музеи, театры, кинотеатры, концерты Заказ столиков в ресторанах Заказ авиа и ж/д билетов Заказ еды в номер из ресторанов Круглосуточный заказ такси Организация экскурсий по городу и пригородам Визовая поддержка Копировальные услуги, факс Стирка белья Услуги переводчика Аренда авто Услуги в номера Телевизор Ежедневная уборка в номеров Смена полотенец и постельного белья Мыло, шампунь, фен Услуга ""Звонок в номер""","59.930633,30.321177"
18835,Garden Street,Отель,66,66,"Санкт-Петербург, ул. Инженерная, д. 9А, стр. 1",Центральный,+7 (812) 660-62-05,Нет,Www.gshotel.ru,Info@gshotel.ru,"Garden Street Hotel это семейный эко-отель, который пропитан домашней теплотой и уютом. Отель расположен в историческом центре Санкт-Петербурга, буквально в нескольких шагах от Михайловского театра, Русского музея и Инженерного замка. Эрмитаж, Исаакиевский собор, Казанский собор, Собор «Спас на Крови» находятся в пешей доступности. Отель спрятан от городского шума и суеты мегаполиса. Гостиничные интерьеры перекликаются с архитектурой города и изысканно подчеркивают ее. Наш ресторан Garden Street предложит Вам блюда европейской и русской кухни. Панорамный ресторан Sky & Garden удивит авторской кухней, под руководством Владимира Довалго, с потрясающим видом на Санкт-Петербург.",Завтрак Room Service Фитнес-зал и сауна Детская комната Парковка Хранение багажа Визовая поддержка Мероприятия Экскурсионные услуги Трансфер,"59.937062,30.338191"
18836,GRAND CATHERINE PALACE HOTEL«,Отель,93,132,"Санкт-Петербург, Невский проспект, д.32-34. Лит.Б",Центральный,88126556657.0,Нет,Www.grandcatherinepalace.com,Info@grandcatherinepalace.com,"Гостиница расположена на территории Базилики Св. Екатерины Александрийской, одного из старейших каталических храмов России, в самом сердце города на Невском проспекте, дом 32-34. Из ряда номеров открывается неповторимый вид на храм. Это любимая часть Санкт-Петербурга среди гостей и жителей культурной столицы. Казанский собор, Спас на крови, Русский музей, Марсово поле и Летний сад, Эрмитаж - экскурсионный маршрут можно начинать практически от центрального входа отеля. До станции метро «Гостиный двор« и »Невский проспект» необходимо пройти буквально несколько шагов. В исторических стенах отеля Вас ждет мир настоящего комфорта и европейского сервиса...",Трансфер и такси Круглосуточная стойка регистрации Туристическое обслуживание Оплата банковской картой Мероприятия Возможность фотосъемки в интерьерах,"59.936377,30.328768"
18837,HARBOR CLUB HOTEL,Отель,81,81,"Санкт-Петербург, УЛ. 9-Я СОВЕТСКАЯ, Д.3",Центральный,89217416991.0,Нет,Www.harborclubhotel.com,7416991@gmail.com,"Отель Harbor Club Hotel находится в сердце одного из первых районов города Санкт-Петербург. Фасад здания выполнен в стиле необрутализм, отличающимся грубой выразительностью фактуры камня и урбанистической простотой конструкций, и в то же время удачно вписывается в исторический облик узких улиц Петербурга. Проведите Ваш отпуск или командировку в Санкт-Петербурге с комфортом в отеле Harbor Club Hotel! Будем рады помочь Вам организовать деловое мероприятие для Вас и Ваших коллег или культурную программу для всей семьи.",Банкеты Парковка Организация культурной программы Конференц-зал Трансфер Визовая поддержка Лобби-бар,"59.938446,30.370773"
18838,Les Rooms,Отель,35,67,"Санкт-Петербург, Лесной проспект, дом 19-21",Калининский,+7(911)0082824,Нет,Нет,Les.rooms.hotel@gmail.com,"Отель Les Rooms с садом и видом на город расположен в Санкт-Петербурге, в 3,6 км от музея Анны Ахматова. Во всех номерах есть кухня и собственная ванная комната. К услугам гостей круглосуточная стойка регистрации, трансфер от/до аэропорта, общая кухня и бесплатный Wi-Fi. Все номера оснащены микроволновой печью. Летний сад находится в 3,9 км от отеля, а храм Спаса-на-Крови в 4 км.",Бесплатный Wi-Fi Семейные номера Можно с питомцами Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации,"59.966786,30.352124"
18839,Lotman Boutique Hotel,Отель,13,13,"Cанкт-Петербург, Невский пр., д. 120, Лит. А, пом. 24-Н",Центральный,89312162508.0,Нет,Http://lotmanhotel.ru/,Lotmanboutiquehotel@gmail.com,"Lotman Boutique Hotel открыт для своих гостей с июня 2018 года. В прекрасных традициях наследия города Санкт-Петербург, наш отель представляет признанные стандарты гостеприимства, культуру предоставляемого сервиса, заботу и уважение своих гостей и их отдыха. Для Вас каждый номер оснащен всем самым необходимым для комфортного проживания в самом центре исторической части Санкт-Петербурга. Наши преимущества: - Идеальное расположение в центральной части города - всего несколько шагов до Московского вокзала и Невского проспекта говорят сами за себя! Это приятные прогулки до любимых достопримечательностей, популярных мест отдыха, мест деловых встреч и мероприятий.",- Оснащение номеров - Бесплатный Wi-Fi в каждом номере - Ежедневная уборка - Мгновенное подтверждение брони - Хранение багажа,"59.930895,30.363667"
18840,MERIDIAN,Отель,24,47,"Санкт-Петербург, ул. Итальянская, д. 12, кв. 31, 32-32б, 33.",Центральный,8 (812) 922-20-08,Нет,Www.meridianhotels.ru,Meridianhotel.spb@gmail.com,"Наш отель находиться в центре СПБ, рядом с метро «Гостиный двор« и »невский проспект». От невского всего 500 метров пешей прогулки. Доступность исторических достопримечательностей и центральной транспортной инфраструктуры, несомненно, порадует Вас. Наш Меридиан отель предлагает номера различных категорий. Вы можете забронировать в нашем отеле одноместный номер бизнес класса, а также и семейный номер. Основными номерами в нашем отеле являются двухместные номера класса комфорт. Несомненно, мы можем заявить, что именно отель Меридиан в центре Санкт-Петербурга может Вам предоставить отличное соотношение цены и качества услуг.",Сейф Сервисы Ежедневная уборка номера Индивидуальная регистрация заезда/отъезда Круглосуточная стойка регистрации Трансфер (за дополнительную плату) Трансфер от/до аэропорта (платный) Ускоренная регистрация заезда/отъезда Фен Медиа и Технологии ЖК-телевизор Интернет Wi-Fi Парковка Автостоянка / Парковка Кухня Холодильник,"59.936079,30.33776"
